,Discharge,Sediment_Load_tonnes_day,Rainfall,Monthly_Sediment_Yield_tons_ha
1993-03-01,0.6970967741935483,1002.0639600000001,30.9,0.007188407173601148
1993-04-01,0.9123333333333333,1325.718576,28.8,0.009510176298421808
1993-05-01,2.1248387096774195,3190.80384,98.14,0.022889554088952654
1993-06-01,10.371666666666666,17206.482024,176.2,0.12343243919655668
1993-07-01,85.92451612903226,258987.327696,427.5,1.8578717912195122
1993-08-01,140.16548387096773,509555.01060000004,325.06,3.6553444088952656
1993-09-01,100.43666666666667,315311.52009600005,200.98,2.261919082467719
1993-10-01,37.674838709677424,74462.48611200001,75.72,0.5341641758393114
1993-11-01,11.714,17079.012000000002,10.940000000000001,0.12251802008608323
1993-12-01,4.7383870967741935,7138.854,4.859999999999999,0.0512112912482066
1994-01-01,2.378064516129032,3432.894048,2.5,0.02462621268292683
1994-02-01,1.3110714285714287,1617.380784,2.78,0.011602444648493544
1994-03-01,0.6103225806451613,842.955336,10.78,0.006047025365853658
1994-04-01,0.3496666666666667,474.283512,19.6,0.0034023207460545193
1994-05-01,1.0135483870967743,1491.8975280000002,47.3,0.010702277819225253
1994-06-01,19.355666666666664,36398.351808,290.18,0.26110725830703013
1994-07-01,84.87645161290322,251653.591584,482.6,1.8052624934289814
1994-08-01,194.3551612903226,791330.923008,418.82,5.676692417560976
1994-09-01,122.46866666666666,418391.649648,194.88,3.001374818134864
1994-10-01,19.98677419354839,31000.167072,24.64,0.22238283408895265
1994-11-01,7.016,10027.214208,10.96,0.07193123535150646
1994-12-01,4.14,6114.159936,8.28,0.043860544734576755
1995-01-01,2.164516129032258,3135.36096,0.0,0.022491828981348636
1995-02-01,1.6732142857142858,2074.154688,0.2,0.014879158450502153
1995-03-01,1.4819354838709677,2084.897232,22.62,0.014956221176470587
1995-04-01,1.3946666666666667,1951.122816,33.46,0.0139965768723099
1995-05-01,1.5551612903225807,2250.055584,76.56,0.016141001319942613
1995-06-01,4.986666666666666,7680.611808000001,158.22,0.05509764568149211
1995-07-01,61.60967741935484,176456.53008,421.32,1.2658287667144907
1995-08-01,148.57322580645163,552710.657808,336.5,3.964925809239598
1995-09-01,98.55366666666667,282641.519232,145.36,2.0275575267718793
1995-10-01,24.946129032258067,37566.874656,15.68,0.26948977515064565
1995-11-01,17.016666666666666,24660.077400000002,13.040000000000001,0.17690155954088954
1995-12-01,12.738387096774193,19064.609712,13.18,0.1367619061119082
1996-01-01,7.4558064516129035,11020.631256,4.92,0.0790576130272597
1996-02-01,3.591379310344828,4617.2916,2.7399999999999998,0.033122608321377325
1996-03-01,3.3716129032258064,4847.484528,40.46,0.03477392057388809
1996-04-01,3.402,4746.079656,56.26,0.0340464824677188
1996-05-01,7.991612903225807,11859.074568,92.28,0.08507227093256815
1996-06-01,56.431333333333335,127822.793904,212.7,0.916949741061693
1996-07-01,179.07999999999998,695885.692104,414.46,4.992006399598279
1996-08-01,200.46774193548387,827370.179136,322.24,5.935223666685796
1996-09-01,101.51166666666667,313984.493208,177.5,2.2523995208608323
1996-10-01,36.936129032258066,61073.56908,26.26,0.43811742525107605
1996-11-01,22.107333333333333,32975.241912000005,30.2,0.23655123322812055
1996-12-01,15.247096774193547,22966.662888000003,2.8,0.1647536792539455
1997-01-01,10.778064516129032,16087.711968000001,0.7400000000000001,0.11540682903873746
1997-02-01,7.994285714285715,10132.522632,0.0,0.07268667598278336
1997-03-01,6.630967741935484,9419.53536,33.42,0.06757198967001435
1997-04-01,4.968999999999999,6819.025176,20.58,0.04891696682926829
1997-05-01,7.351935483870967,10865.105424000001,116.64,0.07794193274031565
1997-06-01,48.027,118256.583744,199.66,0.8483255648780488
1997-07-01,141.97677419354838,510725.6874,375.62,3.6637423773314204
1997-08-01,150.53354838709677,564940.2024000001,276.36,4.05265568436155
1997-09-01,79.623,200281.459248,154.73999999999998,1.4367393059397418
1997-10-01,58.90225806451613,127122.37459200001,116.48,0.9119252122812053
1997-11-01,54.58166666666667,102708.09072000001,29.18,0.7367868774748925
1997-12-01,16.693225806451615,24987.612240000002,18.46,0.17925116384505024
1998-01-01,2.390329712967742,3446.2457015523696,5.140000000000001,0.024721992120174816
1998-02-01,1.4863974192857141,1854.7845275390544,0.0,0.013305484415631667
1998-03-01,1.056226048935484,1468.7481568921487,16.82,0.010536213464075673
1998-04-01,0.8537483837333333,1135.3900139853984,8.48,0.008144835107499271
1998-05-01,2.039593295516129,2951.138527304249,93.32000000000001,0.021170290726716275
1998-06-01,10.790457301966667,19065.40374314134,200.82,0.1367676021746151
1998-07-01,64.34354830870969,175490.4361639038,386.52000000000004,1.2588983942891234
1998-08-01,129.1266975196774,460506.82285517344,337.62,3.303492272992636
1998-09-01,87.42461258666667,257219.77168184653,212.58,1.8451920493676222
1998-10-01,27.39538011967742,46933.99409108304,72.25999999999999,0.33668575388151395
1998-11-01,8.800699112266667,12535.844506232934,0.33999999999999997,0.08992714853825634
1998-12-01,8.692484231225807,12864.846162447506,0.84,0.09228727519689746
1999-01-01,6.818999409354839,9762.108953893661,12.940000000000001,0.07002947599636773
1999-02-01,1.7624757657857142,2167.094813569747,0.0,0.015545873841963754
1999-03-01,0.7750207089677419,1061.483042378736,5.28,0.007614655971153055
1999-04-01,0.5813040363666667,773.6492736506735,18.8,0.005549851317436683
1999-05-01,0.7726077144193548,1095.3305759069065,38.1,0.007857464676520133
