,Discharge,Sediment_Load_tonnes_day,Rainfall,Monthly_Sediment_Yield_tons_ha
1993-08-01,179.33748387096776,645263.899056,303.4,3.8777878549038465
1993-09-01,154.83656666666667,497897.02728000004,248.0,2.992169635096154
1993-10-01,89.73812903225807,221284.614096,183.4,1.32983542125
1993-11-01,22.919666666666668,21426.301440000003,54.1,0.12876383076923079
1993-12-01,8.186064516129033,4000.631472,18.599999999999998,0.024042256442307692
1994-01-01,4.80383870967742,2315.9882880000005,1.4,0.01391819884615385
1994-02-01,3.376035714285714,1404.551664,1.0,0.008440815288461538
1994-03-01,2.4399032258064515,1100.5022880000001,28.1,0.006613595480769232
1994-04-01,2.1104666666666665,996.4671840000001,41.9,0.00598838451923077
1994-05-01,7.174709677419354,6434.795520000001,175.5,0.038670646153846154
1994-06-01,61.53963333333333,140354.945424,272.3,0.8434792393269231
1994-07-01,147.62190322580648,470478.81628800003,321.0,2.8273967325
1994-08-01,177.60664516129032,638565.1433280001,421.1,3.8375309094230774
1994-09-01,118.64703333333334,324506.69064000004,214.2,1.9501604004807696
1994-10-01,23.37709677419355,24244.269408000004,96.8,0.14569873442307696
1994-11-01,10.4642,4824.477288,26.7,0.02899325293269231
1994-12-01,6.365,3535.642224,50.6,0.021247849903846153
1995-01-01,3.565806451612903,1610.405712,1.2000000000000002,0.009677918942307693
1995-02-01,2.517535714285714,1077.504768,1.1,0.006475389230769231
1995-03-01,1.8783548387096773,904.58208,35.9,0.005436190384615385
1995-04-01,1.9485999999999999,1025.88768,62.1,0.006165190384615385
1995-05-01,11.065032258064516,13600.82664,195.9,0.08173573701923076
1995-06-01,45.213766666666665,76860.49564800001,323.6,0.4619020171153847
1995-07-01,92.63948387096774,220338.251568,430.8,1.3241481464423077
1995-08-01,198.9793870967742,751199.091984,308.5,4.514417620096154
1995-09-01,131.7718,376812.48340800003,260.7,2.2644980974038464
1995-10-01,25.42964516129032,26895.827088000002,75.9,0.16163357625000002
1995-11-01,10.224066666666666,5819.021856,48.7,0.03497008326923077
1995-12-01,5.639516129032258,2689.0574400000005,11.799999999999999,0.016160200961538463
1996-01-01,3.576645161290323,1724.3435520000003,5.5,0.01036264153846154
1996-02-01,2.2712413793103448,1013.7221280000001,2.2,0.006092080096153847
1996-03-01,4.081709677419355,3556.287504000001,45.8,0.02137192009615385
1996-04-01,3.9101,2701.20744,61.00000000000001,0.01623321778846154
1996-05-01,19.74290322580645,29109.331584000003,215.6,0.17493588692307693
1996-06-01,85.187,195416.88307200003,270.5,1.1743803069230772
1996-07-01,202.9754516129032,749800.034064,459.7,4.506009820096154
1996-08-01,223.52112903225805,859458.305808,346.6,5.165013857019231
1996-09-01,141.69536666666667,423620.317584,262.3,2.5457951777884618
1996-10-01,85.50945161290323,194809.616352,134.6,1.1707308675
1996-11-01,68.06916666666667,118075.776192,39.4,0.7095900011538462
1996-12-01,47.881032258064515,66873.808008,14.399999999999999,0.40188586543269234
1997-01-01,2.9428709677419356,1463.50152,2.6,0.00879508125
1997-02-01,1.9274285714285715,824.881968,0.0,0.004957223365384616
1997-03-01,1.7458709677419355,850.09176,49.0,0.00510872451923077
1997-04-01,1.6658000000000002,760.869936,42.0,0.004572535673076923
1997-05-01,18.386387096774197,26151.255648000002,206.6,0.15715898826923078
1997-06-01,60.78996666666667,125340.80745600001,244.8,0.7532500448076924
1997-07-01,160.85999999999999,518227.935264,460.3,3.1143505725000002
