,Discharge,Rainfall,Sediment_Yield,Days_in_Month,Monthly_Sediment_Yield_tons_ha
2001-02-01,2.077816277357143,1.2999999999999998,0.0008465357556627916,28,0.023703001158558164
2001-03-01,1.8550236264193547,15.639999999999999,0.000899110922394535,31,0.027872438594230588
2001-04-01,1.4234179344,24.1,0.00070594861874369,30,0.021178458562310702
2001-05-01,1.9233147068387098,58.36,0.001238336717892557,31,0.03838843825466927
2001-06-01,14.594027955466666,223.56,0.011181825502720736,30,0.3354547650816221
2001-07-01,87.12403045967741,481.86,0.14403934761942203,31,4.465219776202082
2001-08-01,183.85727926870968,361.88,0.3801020853472055,31,11.783164645763371
2001-09-01,55.172512698,133.88,0.07375975853093096,30,2.212792755927929
2001-10-01,13.943946197032258,74.92,0.010443384832540595,31,0.32374492980875846
2001-11-01,6.184224651433333,12.84,0.003403218742572809,30,0.10209656227718428
2001-12-01,3.893316652387097,6.0,0.0018222653954814423,31,0.05649022725992471
2002-01-01,2.9804644683225807,0.6799999999999999,0.001414482900906995,31,0.04384896992811684
2002-02-01,2.1619962738214284,0.24,0.0008022634718320311,28,0.022463377211296872
2002-03-01,2.126248913612903,24.12,0.0010941373531923543,31,0.033918257948962985
2002-04-01,1.8364843130666666,29.22,0.000882775279401779,30,0.02648325838205337
2002-05-01,1.2781034427741935,17.84,0.0005657343084424195,31,0.017537763561715006
2002-06-01,24.10415665956667,228.02,0.027710281055786514,30,0.8313084316735955
2002-07-01,86.85177843387098,302.92,0.12585843733189928,31,3.9016115572888777
2002-08-01,145.3491569735484,366.84000000000003,0.2805666640766873,31,8.697566586377306
2002-09-01,75.90195211866667,192.38,0.10287846198866481,30,3.086353859659944
2002-10-01,12.589094353225805,13.12,0.009200664337870038,31,0.2852205944739712
2002-11-01,7.090843826233334,16.34,0.003674448154849791,30,0.11023344464549373
2002-12-01,5.415425966290322,5.66,0.00303887535806031,31,0.09420513609986961
2003-01-01,4.0452133493870965,2.68,0.001858643245794685,31,0.05761794061963524
2003-02-01,3.3053762669285716,7.86,0.0015377504106102314,28,0.04305701149708648
2003-03-01,3.350184081516129,14.78,0.0017139503692415793,31,0.053132461446488956
