,Discharge,Rainfall,Sediment_Yield,Days_in_Month,Monthly_Sediment_Yield_tons_ha
1998-09-01,153.73146666666665,283.4,0.21241965807692306,30,6.372589742307692
1998-10-01,96.1386129032258,167.0,0.1055239174317618,31,3.2712414403846157
1998-11-01,18.317433333333334,18.8,0.005869085192307693,30,0.17607255576923078
1998-12-01,6.541225806451613,9.9,0.0013283581265508687,31,0.04117910192307693
1999-01-01,3.7180967741935484,14.5,0.0007654566997518611,31,0.023729157692307695
1999-02-01,2.1382142857142856,0.2,0.0003590870192307693,28,0.01005443653846154
1999-03-01,1.4334193548387097,5.3,0.00022595080645161292,31,0.0070044750000000005
1999-04-01,1.7079333333333333,61.5,0.00028586942307692306,30,0.008576082692307693
1999-05-01,8.909709677419356,211.8,0.003234975186104219,31,0.10028423076923079
1999-06-01,57.74303333333333,312.1,0.04776085038461539,30,1.4328255115384616
1999-07-01,163.04058064516127,374.6,0.23475780530397022,31,7.277491964423077
1999-08-01,186.85551612903225,339.6,0.2796683968362283,31,8.669720301923077
1999-09-01,127.08083333333335,253.3,0.15694770461538463,30,4.708431138461539
1999-10-01,122.52325806451613,237.5,0.15563005179900744,31,4.824531605769231
1999-11-01,19.662333333333333,57.0,0.00718369875,30,0.21551096250000001
1999-12-01,7.599064516129032,33.1,0.0015804815136476428,31,0.04899492692307693
2000-01-01,3.423967741935484,0.0,0.0007111317617866005,31,0.022045084615384618
2000-02-01,2.0260344827586207,4.7,0.0003684318302387268,29,0.010684523076923077
2000-03-01,1.4889354838709679,12.899999999999999,0.00023459851116625313,31,0.007272553846153847
2000-04-01,3.0965333333333334,86.6,0.0005900728846153847,30,0.01770218653846154
2000-05-01,6.078548387096775,142.3,0.0016265724565756824,31,0.050423746153846156
2000-06-01,49.0447,338.4,0.03817392923076923,30,1.145217876923077
2000-07-01,146.03170967741937,392.3,0.19733112468982633,31,6.117264865384616
2000-08-01,203.22093548387096,383.6,0.3291814323200993,31,10.204624401923077
2000-09-01,134.1646,248.4,0.1737521203846154,30,5.212563611538462
2000-10-01,126.97751612903225,176.4,0.15600203374689828,31,4.836063046153846
2000-11-01,36.7092,72.1,0.02257748134615385,30,0.6773244403846155
2000-12-01,8.952806451612902,18.0,0.0017400746277915634,31,0.053942313461538466
2001-01-01,3.8302903225806455,2.0,0.000795521836228288,31,0.024661176923076927
2001-02-01,2.3271071428571433,10.3,0.00042725831043956047,28,0.011963232692307693
2001-03-01,1.802967741935484,19.3,0.00030718697270471466,31,0.009522796153846155
2001-04-01,1.7911333333333335,28.1,0.00028976884615384614,30,0.008693065384615384
2001-05-01,6.004645161290322,165.7,0.001358709677419355,31,0.042120000000000005
2001-06-01,67.16553333333334,297.3,0.05977816961538462,30,1.7933450884615385
2001-07-01,150.91109677419354,403.9,0.20349869516129032,31,6.30845955
2001-08-01,205.90396774193547,380.9,0.3242722586538462,31,10.052440018269232
2001-09-01,128.69783333333334,222.4,0.16402399788461539,30,4.920719936538462
2001-10-01,41.18696774193548,95.0,0.027049223076923076,31,0.8385259153846154
2001-11-01,13.860999999999999,36.300000000000004,0.003921540576923077,30,0.11764621730769231
2001-12-01,5.3870000000000005,20.5,0.001126414205955335,31,0.03491884038461539
2002-01-01,3.083548387096774,7.1000000000000005,0.0006404292803970224,31,0.019853307692307694
2002-02-01,1.792892857142857,4.4,0.00034939409340659344,28,0.009783034615384616
2002-03-01,1.4064516129032258,22.7,0.0002504852977667494,31,0.0077650442307692314
2002-04-01,1.0296999999999998,38.6,0.00017003942307692308,30,0.005101182692307692
2002-05-01,1.0106451612903227,76.3,0.0001815163771712159,31,0.005627007692307693
