Year,Discharge,Rainfall,SSC,SSC_Q05,SSC_Q25,SSC_Q75,SSC_Q95,Sediment_Yield,Sediment_Yield_Q05,Sediment_Yield_Q25,Sediment_Yield_Q75,Sediment_Yield_Q95,Days_in_Year,Annual_Rainfall_mm,Annual_Sediment_Yield_tons_ha,Annual_Sediment_Yield_Q05,Annual_Sediment_Yield_Q25,Annual_Sediment_Yield_Q75,Annual_Sediment_Yield_Q95
2000,34.3945678906694,1445.66,1.1929371584699453,0.605386612021858,0.8508879781420765,1.809282786885246,3.393144808743169,19.854373606920543,15.349301800617134,18.041361930801095,22.433868594854648,27.46992416165068,366,1445.66,19.854373606920543,15.349301800617134,18.041361930801095,22.433868594854648,27.46992416165068
2001,31.65183421790685,1394.34,1.1144109589041096,0.5521547945205479,0.7706095890410959,1.7872397260273971,3.532704109589041,19.663097349843174,15.924252756115898,18.16310482441383,22.21596442596707,29.309996241401347,365,1394.34,19.663097349843174,15.924252756115898,18.16310482441383,22.21596442596707,29.309996241401347
2002,30.911883430942463,1197.38,1.1123150684931506,0.5927876712328767,0.7916849315068493,1.7316986301369863,3.3921109589041096,17.204164214447058,13.55156352005367,15.611224192901608,19.378420868743493,23.406569796203822,365,1197.38,17.204164214447058,13.55156352005367,15.611224192901608,19.378420868743493,23.406569796203822
2003,40.34914255157534,1243.68,1.2783561643835615,0.7220356164383562,0.9394794520547944,1.8552123287671234,3.440117808219178,25.08920864556481,20.554695765976184,23.056872293566023,28.453679980808765,33.810923382963864,365,1243.68,25.08920864556481,20.554695765976184,23.056872293566023,28.453679980808765,33.810923382963864
2004,24.128987698245904,1211.82,1.0416939890710382,0.45797540983606555,0.6935109289617486,1.6286338797814208,3.3230887978142074,11.449700186115793,8.190493314842032,10.027209078034634,13.322516145816506,17.36587150294235,366,1211.82,11.449700186115793,8.190493314842032,10.027209078034634,13.322516145816506,17.36587150294235
2005,33.410684549169865,1368.4,1.1826027397260273,0.6178643835616439,0.8472602739726027,1.7541643835616438,3.356749315068493,18.014495915067155,13.774217537485953,16.174452613477975,20.28676812397214,25.006018246655394,365,1368.4,18.014495915067155,13.774217537485953,16.174452613477975,20.28676812397214,25.006018246655394
2006,41.94666726922192,1632.22,1.314164383561644,0.6972972602739725,0.9138219178082192,1.9764178082191781,3.8404068493150683,27.025483410504496,21.94980323099707,24.597099031375418,30.135786876785783,35.09270035468265,365,1632.22,27.025483410504496,21.94980323099707,24.597099031375418,30.135786876785783,35.09270035468265
2007,44.285254628742464,1480.204,1.3664931506849314,0.7821602739726027,1.009,1.9126027397260275,3.451072602739726,27.979394341440212,22.336861395273612,25.526253315991035,30.779341984112943,36.33595223229532,365,1480.204,27.979394341440212,22.336861395273612,25.526253315991035,30.779341984112943,36.33595223229532
2008,46.90370829370765,1406.146,1.375068306010929,0.7671024590163934,1.005846994535519,1.9551844262295082,3.461468579234973,31.558921907503823,26.276853430311252,29.082756896158052,34.80255836954831,39.376414330419145,366,1406.146,31.558921907503823,26.276853430311252,29.082756896158052,34.80255836954831,39.376414330419145
2009,35.47426095918904,1388.28,1.1995205479452054,0.6380273972602739,0.8299041095890412,1.7895753424657537,3.4856452054794524,24.442497088070404,20.75131347252946,22.669276131551527,26.702469470467378,30.73008920812581,365,1388.28,24.442497088070404,20.75131347252946,22.669276131551527,26.702469470467378,30.73008920812581
2010,44.0439394082274,1660.42,1.3052465753424656,0.776623287671233,0.9881917808219178,1.8893561643835617,3.451691780821918,29.648996607178795,24.93569583402189,27.73241836297575,32.551211784919204,36.80759520936542,365,1660.42,29.648996607178795,24.93569583402189,27.73241836297575,32.551211784919204,36.80759520936542
2011,41.08318383420822,1429.58,1.3404246575342467,0.7313493150684931,0.9547465753424658,1.9186917808219177,3.4867575342465753,26.787605024800428,21.840228201216995,24.50080298229852,29.38351136189394,35.034206338766595,365,1429.58,26.787605024800428,21.840228201216995,24.50080298229852,29.38351136189394,35.034206338766595
2012,43.97060727996175,1333.544,1.3362841530054645,0.7548797814207651,0.980191256830601,1.862056010928962,3.4173579234972675,27.864288144631516,22.556145853577828,25.500716555291717,30.7586784721517,35.17377961796462,366,1333.544,27.864288144631516,22.556145853577828,25.500716555291717,30.7586784721517,35.17377961796462
2013,48.00428068198356,1505.38,1.4328630136986302,0.8240849315068494,1.0830479452054795,2.0163219178082192,3.4413369863013696,30.854132833657463,25.234703226100827,28.54343144141382,34.33512312339993,39.18394789898218,365,1505.38,30.854132833657463,25.234703226100827,28.54343144141382,34.33512312339993,39.18394789898218
2014,66.62222497724383,1474.48,1.6292876712328765,0.9592178082191781,1.2536232876712328,2.128609589041096,3.5596835616438356,44.835454876948546,36.25690324869466,41.00837212268161,49.56993097078651,56.511317750839,365,1474.48,44.835454876948546,36.25690324869466,41.00837212268161,49.56993097078651,56.511317750839
2015,50.22891403593699,1649.26,1.4692602739726026,0.8214726027397261,1.0970068493150684,1.9627534246575342,3.404395890410959,30.416768543685578,23.38440695620268,27.231419389152713,33.766260938152726,40.20348701030572,365,1649.26,30.416768543685578,23.38440695620268,27.231419389152713,33.766260938152726,40.20348701030572
2016,58.67961099593989,1338.76,1.6559426229508198,0.9488183060109289,1.2580806010928962,2.244863387978142,3.919475409836066,34.773987008636986,27.091086270226995,31.4031512334398,39.07339005359275,47.65762327520974,366,1338.76,34.773987008636986,27.091086270226995,31.4031512334398,39.07339005359275,47.65762327520974
2017,51.050100368799995,1406.38,1.4804794520547946,0.8266630136986303,1.1170342465753424,1.996123287671233,3.454071232876712,32.15042683099985,25.978218577821565,29.49343378132686,35.62621839892421,43.442935440585885,365,1406.38,32.15042683099985,25.978218577821565,29.49343378132686,35.62621839892421,43.442935440585885
2018,61.11494816384109,1383.34,1.5094657534246576,0.937990410958904,1.1875342465753425,1.9951986301369862,3.3698219178082187,39.3783100908493,32.95102806909127,36.77143836238032,43.66269142397228,50.56414592433472,365,1383.34,39.3783100908493,32.95102806909127,36.77143836238032,43.66269142397228,50.56414592433472
2019,70.0757905425589,1413.62,1.6636301369863014,1.0501342465753425,1.3773972602739726,2.257945205479452,3.4229958904109585,48.34437897819006,39.93991228147605,45.021112100081666,53.47761387334372,58.54987132106947,365,1413.62,48.34437897819006,39.93991228147605,45.021112100081666,53.47761387334372,58.54987132106947
2020,84.21584617390437,1475.26,1.7554508196721312,1.1497896174863387,1.4312158469945357,2.258825136612022,3.5757418032786883,59.94256016248988,49.58582107628364,55.639317795138965,65.51394913264163,71.1165982870563,366,1475.26,59.94256016248988,49.58582107628364,55.639317795138965,65.51394913264163,71.1165982870563
